shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedYCord,event,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shotType,team,teamCode,coords
1,52,48,-32,SHOT,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[48&-32]
2,72,27,-37,MISS,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[27&-37]
3,53,-36,4,SHOT,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[-36&4]
4,56,-38,23,MISS,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[-38&23]
5,58,38,-28,MISS,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[38&-28]
6,57,40,28,SHOT,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[40&28]
7,92,5,-38,SHOT,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[5&-38]
8,60,-30,9,SHOT,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[-30&9]
9,58,37,-26,MISS,D,2021,R,Adam Larsson,SNAP,AWAY,SEA,[37&-26]
10,61,33,-24,SHOT,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[33&-24]
11,54,45,-31,SHOT,D,2021,R,Adam Larsson,SLAP,AWAY,SEA,[45&-31]
12,58.83026432,-39,31,MISS,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[-39&31]
13,62.76941931,-35,32,MISS,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[-35&32]
14,35.38361203,65,-26,SHOT,D,2021,R,Adam Larsson,WRIST,AWAY,SEA,[65&-26]
15,50.53711507,44,23,SHOT,D,2021,R,Adam Larsson,SNAP,AWAY,SEA,[44&23]
16,47,48,-23,SHOT,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[48&-23]
17,82,-14,34,SHOT,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[-14&34]
18,22,68,-7,SHOT,D,2021,R,Adam Larsson,BACK,HOME,SEA,[68&-7]
19,29,-79,-27,SHOT,D,2021,R,Adam Larsson,SLAP,HOME,SEA,[-79&-27]
20,53,-43,27,MISS,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[-43&27]
21,41,-53,-19,SHOT,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[-53&-19]
22,80,14,-27,MISS,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[14&-27]
23,66,-28,24,MISS,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[-28&24]
24,46,-46,16,SHOT,D,2021,R,Adam Larsson,SLAP,HOME,SEA,[-46&16]
25,40,68,-34,MISS,D,2021,R,Adam Larsson,WRIST,HOME,SEA,[68&-34]
